FATP-QT,,,,,,,,,,,,Parametric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Site,Product,SerialNumber,Special Build Name,Special Build Description,Unit Number,Station ID,Test Pass/Fail Status,StartTime,EndTime,Version,List of Failing Tests,2V4_DUT_Applied_Voltage,2V4_MCU_AID_Fall_Time,2V4_MCU_AID_Rise_Time,2V4_MCU_Bits_period,2V4_MCU_VOH,2V4_MCU_VOL,4V8_DUT_Applied_Voltage,4V8_MCU_AID_Fall_Time,4V8_MCU_AID_Rise_Time,4V8_MCU_Bits_period,4V8_MCU_VOH,4V8_MCU_VOL,5V_2P5A_Charge_Capability,5V_2P5A_Charge_Type,5V_2P5A_Charge_Voltage,5V_2P5A_CURR_USBC_PD [rpc] cyg_eload_SetEloadOn,5V_2P5A_CURR_USBC_PD,5V_2P5A_DCR,5V_2P5A_DUT_Input_Voltage,5V_2P5A_Orion_Power_Voltage,5W_5V_1P0A_BRICKID_CAPABILITY_Curr,5W_5V_1P0A_BRICKID_CAPABILITY_DM_Vol,5W_5V_1P0A_BRICKID_CAPABILITY_DP_Vol,5W_5V_1P0A_BRICKID_CAPABILITY_Type,5W_5V_1P0A_BRICKID_CAPABILITY_Vol,5W_5V_1P0A_BRICKID_System_Curr,9V_2P5A_Charge_Capability,9V_2P5A_Charge_Type,9V_2P5A_Charge_Voltage,9V_2P5A_CURR_USBC_PD,9V_2P5A_DCR,9V_2P5A_DUT_Input_Voltage,9V_2P5A_Orion_Power_Voltage,10W_5V_1P5A_BRICKID_CAPABILITY_Curr,10W_5V_1P5A_BRICKID_CAPABILITY_DM_Vol,10W_5V_1P5A_BRICKID_CAPABILITY_DP_Vol,10W_5V_1P5A_BRICKID_CAPABILITY_Type,10W_5V_1P5A_BRICKID_CAPABILITY_Vol,10W_5V_1P5A_BRICKID_System_Curr,12.5W_5V_1P5A_BRICKID_CAPABILITY_Curr,12.5W_5V_1P5A_BRICKID_CAPABILITY_DM_Vol,12.5W_5V_1P5A_BRICKID_CAPABILITY_DP_Vol,12.5W_5V_1P5A_BRICKID_CAPABILITY_Type,12.5W_5V_1P5A_BRICKID_CAPABILITY_Vol,12.5W_5V_1P5A_BRICKID_System_Curr,CC_Rp _SYS_Curr-56kohm_5V,CC_Rp_Capability_CURR-10kohm_5V,CC_Rp_Capability_CURR-22kohm_5V,CC_Rp_Capability_CURR-56kohm_5V,CC_Rp_Capability_Type-10kohm_5V,CC_Rp_Capability_Type-22kohm_5V,CC_Rp_Capability_Type-56kohm_5V,CC_Rp_Capability_VOL-10kohm_5V,CC_Rp_Capability_VOL-22kohm_5V,CC_Rp_Capability_VOL-56kohm_5V,CC_Rp_SYS_CURR-10kohm_5V,CC_Rp_SYS_CURR-22kohm_5V,FW_VERSION_CCG3,FW_VERSION_L4R5,FW_VERSION_MTFW,GreenPAK ID,KBD_HW_Layout,MIX FW,OrionPWR_On_Sys Voltage,OrionPWR_SYS_CURRENT_ALL_RAILS,OrionPWR_SYS_CURRENT_BLC_ONLY,OrionPWR_SYS_CURRENT_CAPSLOCK_ONLY,OrionPWR_SYS_CURRENT_Energy_Storage,OrionPWR_SYS_CURRENT_Energy_Storage_ONLY,OrionPWR_SYS_CURRENT_IDLE,OrionPWR_SYS_CURRENT_LEDs_to_0PCT_brightness,OrionPWR_SYS_CURRENT_LEDs_to_3P8PCT_brightness,OrionPWR_SYS_CURRENT_LEDs_to_100PCT_brightness,OrionPWR_SYS_CURRENT_LEDs_to_UserMax_brightness,OrionPWR_SYS_CURRENT_MFI_ONLY,OrionPWR_SYS_CURRENT_TOUCH_ONLY,OrionPWR_SYS_CURRENT_USBC_AltPWR_ONLY,PHASE1_CONSUMER_DUT_MODE,PHASE2_C2P_DUT_MODE,PHASE2_SYS_CURRENT_pre_swap_consumer,PHASE2_SYS_CURRENT_pre_swap_provide,PHASE3_Vol_IDBUS_provider,PHASE5:P2C_DUT_MODE,PORION_RVP_OUT_-16V_CURR,PPORION_OVP_OUT_5V2_CURR,PPORION_OVP_OUT_16V_CURR,Production signed check,READ_HW_VERSION,Read_PHASE5_BROWNOUT_STATUS,SYS_IDBUS_6V_VBUS_0V_CURR,SYS_IDBUS_6V_VBUS_5V2_CURR,SYS_IDBUS_-5V2_VBUS_0V_CURR,USBC_PWR_On_Sys Voltage,USBC_PWR_SYS_CURRENT_ALL_RAILS,USBC_PWR_SYS_CURRENT_BLC_ONLY,USBC_PWR_SYS_CURRENT_CAPSLOCK_ONLY,USBC_PWR_SYS_CURRENT_Energy_Storage,USBC_PWR_SYS_CURRENT_Energy_Storage_ONLY,USBC_PWR_SYS_CURRENT_IDLE,USBC_PWR_SYS_CURRENT_LEDs_to_100PCT_brightness,USBC_PWR_SYS_CURRENT_MFI_ONLY,USBC_PWR_SYS_CURRENT_TOUCH_ONLY
FXLH,R118,FTPZQ01PPPHF,R118-EVT,R118-EVT_E1AEN-LHWTE1,,FXLH_F05-4FT-02_5_QT1,FAIL,2019/12/5 12:37,2019/12/5 12:42,V1.2.1.0,USBC_PWR_SYS_CURRENT_Energy_Storage,2.427914838,75,56.5,10.013,1.705726261,0.000685,4.818237571,52,61,10.016,1.919635183,0.002454,3000,6,5000,,2513.361992,0.140328984,5.082953271,4.730255736,1,1.78,0.876,4,5000,1009.892763,3000,6,9000,2508.337685,0.140519481,9.07639695,8.723926639,1500,0.876,1.78,4,5000,1520.547606,1500,1.78,1.78,4,5000,1510.49292,16.4331872,3000,1500,500,5,5,5,5000,5000,5000,16.44306626,16.45356833,258,624,1301,3,33,,4809.593426,8.947375195,2.690741807,18.88798079,2.727416225,0.386195305,0.12218412,2.696443536,16.58675928,221.6031418,81.40878086,0.145243263,3.368352729,3.018796197,5,4,117.7423067,122.6227851,2825.328621,5,-0.021216894,3.317106813,11.05132474,0,4,1,0.19899525,0.204944159,-36.26264992,9028.976771,9.547587138,8.17903377,15.57212545,6.492468915,7.425673028,7.367122982,131.4885462,7.394688214,9.453812965
FXLH,R118,FTPZQ01PPPHF,R118-EVT,R118-EVT_E1AEN-LHWTE1,,FXLH_F05-4FT-02_5_QT1,FAIL,2019/12/5 12:42,2019/12/5 12:47,V1.2.1.0,USBC_PWR_SYS_CURRENT_Energy_Storage,2.427967181,76,57.5,10.013,1.704894051,0.000906,4.818274959,55,57,10.01,1.917847593,0.002998,3000,6,5000,,2513.376216,0.140301414,5.082945794,4.730315557,1,1.78,0.876,4,5000,1010.172715,3000,6,9000,2509.39816,0.140534578,9.076449282,8.723792072,1500,0.876,1.78,4,5000,1521.281549,1500,1.78,1.78,4,5000,1510.530389,16.43894999,3000,1500,500,5,5,5,5000,5000,5000,16.441442,16.45000831,258,624,1301,3,33,,4809.668203,8.970354306,2.692546182,18.90115467,2.728907745,0.386180753,0.138052439,2.696186461,16.58928395,221.6070175,81.39080501,0.146026614,3.509569368,3.018934436,5,4,116.9216117,122.3477525,2825.283756,5,-0.021127405,3.317387812,11.05149244,0,4,1,0.199004847,0.20496372,-36.26390236,9029.014151,10.26717889,8.179909281,15.57365334,6.485971708,7.421926039,7.369555494,131.5309252,7.382845787,9.461294818
FXLH,R118,FTPZQ01PPPHF,R118-EVT,R118-EVT_E1AEN-LHWTE1,,FXLH_F05-4FT-02_6_QT1,PASS,2019/12/5 13:27,2019/12/5 13:31,V1.2.1.0,,2.42415774,74,54.5,10.018,1.707457587,0.000578,4.806570346,51,56,10.01,1.923731029,0.001472,3000,6,5000,,2514.082837,0.141051961,5.083686841,4.729070528,1,1.78,0.876,4,5000,1010.882451,3000,6,9000,2511.261058,0.140969967,9.064707603,8.710695215,1500,0.876,1.798,4,5000,1511.1932,1500,1.78,1.78,4,5000,1510.94605,16.51459277,3000,1500,500,5,5,5,5000,5000,5000,16.56010915,16.55241153,258,624,1301,3,33,,4798.558525,9.024651395,2.758019602,18.9445528,2.774013914,0.434254393,0.195929661,2.763083617,16.66644152,221.1238024,81.52952559,0.199471797,3.594073101,3.067335353,5,4,116.9852651,123.4164174,2825.28588,5,-0.019634271,3.313833698,11.05763318,0,4,1,0.200715352,0.206605899,-36.29433162,9014.52011,9.763178244,8.230884728,15.63808189,6.53174129,7.465768764,7.411192641,131.8055281,7.426931686,9.511399716
FXLH,R118,FTPZQ01PPPHF,R118-EVT,R118-EVT_E1AEN-LHWTE1,,FXLH_F05-4FT-02_6_QT1,PASS,2019/12/5 13:33,2019/12/5 13:37,V1.2.1.0,,2.42415028,76,53.5,10.014,1.699435321,0.000679,4.806592725,51,54,10.008,1.924126917,0.000839,3000,6,5000,,2514.217168,0.140706181,5.083873336,4.730107439,1,1.78,0.876,4,5000,1010.908958,3000,6,9000,2509.142431,0.140776886,9.064901521,8.711672264,1500,0.876,1.78,4,5000,1512.146545,1500,1.78,1.78,4,5000,1510.063345,16.51608767,3000,1500,500,5,5,5,5000,5000,5000,16.5318176,16.54676661,258,624,1301,3,33,,4798.439169,8.014646685,2.74039158,18.94187858,2.766873727,0.433277084,0.195504215,2.759602259,16.67870407,221.0386022,81.5477541,0.203171955,3.612923974,3.070551719,5,4,119.2636421,122.840015,2825.509673,5,-0.019831604,3.315129281,11.05724635,0,4,1,0.200497608,0.206418267,-36.28436994,9014.490277,10.32936571,8.229601099,15.63567508,6.534872568,7.46547703,7.414805279,131.779501,7.430172363,9.507519655
FXLH,R118,FTPZQ01PPPHF,R118-EVT,R118-EVT_E1AEN-LHWTE1,,FXLH_F05-4FT-02_6_QT1,PASS,2019/12/5 13:44,2019/12/5 13:48,V1.2.1.0,,2.424090601,73,54.5,10.021,1.709755642,0.000809,4.806510668,50,54,10.013,1.92444808,0.001224,3000,6,5000,,2514.37824,0.140281808,5.083850956,4.731129431,1,1.78,0.876,4,5000,1010.827965,3000,6,9000,2509.257409,0.14043456,9.064819479,8.712433019,1500,0.876,1.78,4,5000,1521.174832,1500,1.78,1.78,4,5000,1511.20594,16.53063506,3000,1500,500,5,5,5,5000,5000,5000,16.5430182,16.52708746,258,624,1301,3,33,,4798.588365,9.058533859,2.759718952,18.94196366,2.792923135,0.431779517,0.194137928,2.745820262,16.66620813,221.1762165,81.55835376,0.202622523,3.554504257,3.052425318,5,4,117.0559403,122.8677184,2825.427616,5,-0.019792638,3.317057239,11.05773465,0,4,1,0.200578903,0.206485636,-36.28786205,9014.505193,10.3570391,8.231990886,15.63079097,6.546534631,7.471156117,7.414929266,131.8021462,7.429348215,9.517676857
FXLH,R118,FTPZQ01PPPHF,R118-EVT,R118-EVT_E1AEN-LHWTE1,,FXLH_F05-4FT-02_6_QT1,PASS,2019/12/5 13:49,2019/12/5 13:53,V1.2.1.0,,2.424120441,76,53.5,10.01,1.699538739,0.000254,4.806607645,53,54,10.013,1.924289886,0.000748,3000,6,5000,,2514.417392,0.140235121,5.083947933,4.731338305,1,1.78,0.876,4,5000,1011.010432,3000,6,9000,2509.318704,0.140386545,9.065013397,8.712738813,1500,0.876,1.78,4,5000,1512.877842,1500,1.78,1.78,4,5000,1511.188157,16.5198807,3000,1500,500,5,5,5,5000,5000,5000,16.55375025,16.52867161,258,624,1301,3,33,,4798.39441,9.03117651,2.75574894,18.94465734,2.764148446,0.428166879,0.198202754,2.763419111,16.66649987,221.2724086,81.53808555,0.19723517,3.590582018,3.073896935,5,4,118.1008342,123.3768874,2825.464915,5,-0.019399803,3.316542033,11.06111348,0,4,1,0.20088582,0.206735262,-36.28487225,9014.676736,10.32660153,8.234937399,15.63348221,6.53437662,7.486277658,7.412152931,131.7500701,7.431611584,9.484424053
FXLH,R118,FTPZQ01PPPHF,R118-EVT,R118-EVT_E1AEN-LHWTE1,,FXLH_F05-4FT-02_6_QT1,PASS,2019/12/5 13:54,2019/12/5 13:59,V1.2.1.0,,2.4241279,74,57.5,10.011,1.708485183,0.000654,4.806562886,50,52,10.013,1.924210451,0.000717,3000,6,5000,,2514.388753,0.140067609,5.083761439,4.731577019,1,1.78,0.876,4,5000,1010.956281,3000,6,9000,2508.416824,0.1402943,9.064782187,8.712865606,1500,0.876,1.78,4,5000,1521.046114,1500,1.78,1.78,4,5000,1511.18394,16.53514208,3000,1500,500,5,5,5,5000,5000,5000,16.53594531,16.54652117,258,624,1301,3,33,,4798.424249,9.029550094,2.760698692,18.9583348,2.786045507,0.461033136,0.200507452,2.752245702,16.67078836,221.1959854,81.57562684,0.202277305,3.554482377,3.055311053,5,4,117.3145138,123.3698823,2825.405236,5,-0.019567088,3.313730545,11.05896744,0,4,1,0.200746013,0.206626726,-36.28206522,9014.602153,10.33004642,8.222191058,15.63378367,6.549002214,7.470545907,7.414943853,131.7067977,7.427318233,9.496776553
FXLH,R118,FTPZQ01PPPHF,R118-EVT,R118-EVT_E1AEN-LHWTE1,,FXLH_F05-4FT-02_6_QT1,PASS,2019/12/5 13:59,2019/12/5 14:03,V1.2.1.0,,2.42414282,75,56.5,10.012,1.709099778,0.000916,4.806533047,52,54,10.011,1.925212926,0.000991,3000,6,5000,,2514.460249,0.140030992,5.083798738,4.731696376,1,1.78,0.876,4,5000,1010.97567,3000,6,9000,2509.329039,0.140231409,9.064797104,8.712910356,1500,0.876,1.78,4,5000,1520.689458,1500,1.78,1.78,4,5000,1511.210447,16.53757408,3000,1500,500,5,5,5,5000,5000,5000,16.53295551,16.54748059,258,624,1301,3,33,,4798.454088,9.067409863,2.75980161,18.94568813,2.776252972,0.43836541,0.198134683,2.758282163,16.66685481,221.2306972,81.52825169,0.202634679,3.589434531,3.076379104,5,4,119.2303169,123.0429643,2825.517133,5,-0.019446587,3.318416732,11.06174866,0,4,1,0.200768489,0.20681222,-36.28385024,9014.766237,10.332779,8.234969003,15.63965239,6.525308557,7.476246874,7.414853901,131.7588009,7.430714502,9.516254654
FXLH,R118,FTPZQ01PPPHF,R118-EVT,R118-EVT_E1AEN-LHWTE1,,FXLH_F05-4FT-02_6_QT1,PASS,2019/12/5 14:04,2019/12/5 14:08,V1.2.1.0,,2.42415028,72,55.5,10.01,1.708754987,0.000105,4.806503208,52,58,10.018,1.924191111,0.000878,3000,6,5000,,2513.309283,0.140098087,5.083955393,4.731845572,1,1.78,0.876,4,5000,1011.097761,3000,6,9000,2508.503767,0.140229972,9.064849313,8.713081899,1500,0.876,1.78,4,5000,1518.761794,1500,1.78,1.78,4,5000,1511.23586,16.52831462,3000,1500,500,5,5,5,5000,5000,5000,16.530702,16.52387454,258,624,1301,3,33,,4798.416789,8.035719598,2.760579567,18.96150741,2.76354796,0.455585005,0.200142785,2.751290273,16.66615465,221.2803638,81.56442669,0.204375358,3.587774079,3.074030646,5,4,119.4918894,122.5331527,2825.599191,5,-0.019255422,3.318240138,11.06226835,0,4,1,0.200846853,0.206810877,-36.2834707,9014.878113,10.34399617,8.233573543,15.63761268,6.532969004,7.472315759,7.423571883,131.772336,7.431728277,9.49239082
FXLH,R118,FTPZQ01PPPHF,R118-EVT,R118-EVT_E1AEN-LHWTE1,,FXLH_F05-4FT-02_6_QT1,PASS,2019/12/5 14:08,2019/12/5 14:13,V1.2.1.0,,2.4241279,76,54.5,10.013,1.699578096,0.000681,4.806525587,51,53,10.01,1.92412049,0.001188,3000,6,5000,,2514.458888,0.140045901,5.083798738,4.731659077,1,1.78,0.876,4,5000,1011.052624,3000,6,9000,2509.398347,0.140203759,9.064774729,8.712947648,1500,0.876,1.78,4,5000,1513.020103,1500,1.78,1.78,4,5000,1509.846361,16.51309787,3000,1500,500,5,5,5,5000,5000,5000,16.55247847,16.53324556,258,624,1301,3,33,,4798.38695,8.644215777,2.742263539,18.95038262,2.765237586,0.427950509,0.199671148,2.764838883,16.67124298,221.2094208,81.55097533,0.205722196,3.598045544,3.076529834,5,4,120.8568688,123.4267556,2825.584271,5,-0.019248031,3.318010846,11.06217024,0,4,1,0.200992463,0.206911289,-36.28299922,9014.654361,10.32278954,8.238958465,15.64004623,6.5499309,7.479699058,7.422635904,131.7389396,7.430400888,9.495142843
FXLH,R118,FTPZQ01PPPHF,R118-EVT,R118-EVT_E1AEN-LHWTE1,,FXLH_F05-4FT-02_6_QT1,PASS,2019/12/5 14:27,2019/12/5 14:32,V1.2.1.0,,2.424030923,76,53.5,10.005,1.699835551,0.000094,4.806368932,51,54,10.006,1.923710209,0.001181,3000,6,5000,,2514.256922,0.150649334,5.083746519,4.704975387,1,1.78,0.876,4,5000,1009.486057,3000,6,9000,2509.137274,0.149751126,9.064588269,8.688842138,1500,0.876,1.78,4,5000,1520.730467,1500,1.78,1.78,4,5000,1511.058882,16.50843467,3000,1500,500,5,5,5,5000,5000,5000,16.51793956,16.52797994,258,624,1301,3,33,,4798.140777,9.060118946,2.73498964,18.93838263,2.767802413,0.423749541,0.171176038,2.741295955,16.66017654,221.2198876,81.5537784,0.199287032,2.911972454,3.089064668,5,4,117.4944289,123.3851558,2825.912502,5,-0.019957969,3.31760496,11.05515021,0,4,1,0.200248716,0.206133338,-36.2739805,9014.080065,10.32708289,8.232401745,15.63634364,6.537889583,7.466823868,7.410691831,131.7373714,7.430957614,9.482916761
FXLH,R118,FTPZQ01PPPHF,R118-EVT,R118-EVT_E1AEN-LHWTE1,,FXLH_F05-4FT-02_6_QT1,PASS,2019/12/5 14:32,2019/12/5 14:37,V1.2.1.0,,2.424023463,75,55.5,10.008,1.700308539,0.000026,4.80641369,54,53,10.01,1.92604336,0.001027,3000,6,5000,,2514.366231,0.149637016,5.083955393,4.707713132,1,1.78,0.876,4,5000,1010.982632,3000,6,9000,2509.2254,0.149008714,9.064931355,8.691034904,1500,0.876,1.78,4,5000,1521.592735,1500,1.78,1.78,4,5000,1511.150517,16.49741256,3000,1500,500,5,5,5,5000,5000,5000,16.53596762,16.51869817,258,624,1301,3,33,,4798.334732,9.029204875,2.758172762,18.94654389,2.774473395,0.438438344,0.194874556,2.761073084,16.66440182,221.2766756,81.53051019,0.200750564,3.404448484,3.076162735,5,4,119.757485,123.3363387,2825.972181,5,-0.019468757,3.321513012,11.06107872,0,4,1,0.200741188,0.206778444,-36.27402591,9014.572319,10.33015826,8.232292344,15.63656244,6.549507886,7.479178799,7.41138713,131.7100751,7.430067825,9.43154728
